17-8-8 14:33:17.2|Info|convert_config_to_download_clients|Starting migration to 43
17-8-8 14:33:17.2|Info|MigrationLogger|*** 44: fix_xbmc_episode_metadata migrating ***
17-8-8 14:33:17.2|Info|fix_xbmc_episode_metadata|Starting migration to 44
17-8-8 14:33:17.2|Info|MigrationLogger|*** 45: add_indexes migrating ***
17-8-8 14:33:17.2|Info|add_indexes|Starting migration to 45
17-8-8 14:33:17.2|Info|MigrationLogger|*** 46: fix_nzb_su_url migrating ***
17-8-8 14:33:17.2|Info|fix_nzb_su_url|Starting migration to 46
17-8-8 14:33:17.2|Info|MigrationLogger|*** 47: add_temporary_blacklist_columns migrating ***
17-8-8 14:33:17.2|Info|add_temporary_blacklist_columns|Starting migration to 47
17-8-8 14:33:17.2|Info|MigrationLogger|*** 48: add_title_to_scenemappings migrating ***
17-8-8 14:33:17.2|Info|add_title_to_scenemappings|Starting migration to 48
17-8-8 14:33:17.2|Info|MigrationLogger|*** 49: fix_dognzb_url migrating ***
17-8-8 14:33:17.2|Info|fix_dognzb_url|Starting migration to 49
17-8-8 14:33:17.2|Info|MigrationLogger|*** 50: add_hash_to_metadata_files migrating ***
17-8-8 14:33:17.2|Info|add_hash_to_metadata_files|Starting migration to 50
17-8-8 14:33:17.2|Info|MigrationLogger|*** 51: download_client_import migrating ***
17-8-8 14:33:17.2|Info|download_client_import|Starting migration to 51
17-8-8 14:33:17.3|Info|MigrationLogger|*** 52: add_columns_for_anime migrating ***
17-8-8 14:33:17.3|Info|add_columns_for_anime|Starting migration to 52
17-8-8 14:33:17.3|Info|MigrationLogger|*** 53: add_series_sorttitle migrating ***
17-8-8 14:33:17.3|Info|add_series_sorttitle|Starting migration to 53
